date,predicted_streams
2025-02-24,1508.0224639528792
2025-02-25,1272.0809508401808
2025-02-26,1543.550381077822
2025-02-27,1311.1956417683139
2025-02-28,1571.8459711248695
2025-03-01,1630.8588400877084
2025-03-02,1345.6067831240848
2025-03-03,1611.9553738607747
2025-03-04,1535.593852482986
2025-03-05,1600.738941595222
2025-03-06,1764.986564892923
2025-03-07,1451.5180034603343
2025-03-08,1380.0017814680907
2025-03-09,1363.816131603097
2025-03-10,1378.9739998258065
2025-03-11,1494.3581772275204
2025-03-12,1562.0179424061346
2025-03-13,1556.9380067688585
2025-03-14,1645.2596654068484
2025-03-15,1526.1042255147347
2025-03-16,1750.8959652453882
2025-03-17,1492.7017001916572
2025-03-18,1956.2104868721358
2025-03-19,1639.0033613829291
2025-03-20,1414.5092683785672
2025-03-21,1385.586190943385
2025-03-22,1631.511562540725
2025-03-23,1526.2034064223647
2025-03-24,1677.5673147368434
2025-03-25,1644.788966691699
